product_name,price,quantity,unit,seller,date
Corazon De Lechuga Rustica,69.9,4,pza,lacomer,2026-01-28
Champiñon Boton,42.9,250,grs,lacomer,2026-01-28
Zanahoria Baby,29.9,340,grs,lacomer,2026-01-28
Champiñon Jumbo,85.9,500,grs,lacomer,2026-01-28
Lechuga Mini Francesa,42.9,2,pza,lacomer,2026-01-28
Corazon De Lechuga,36.9,3,pza,lacomer,2026-01-28
Tomatoes Constellation,94.9,467,grs,lacomer,2026-01-28
Zanahoria Baby,19.9,150,grs,lacomer,2026-01-28
Palito De Apio,56.2,800,grs,lacomer,2026-01-28
Kale,42.9,150,grs,lacomer,2026-01-28
Lechuga Trio,36.9,1,pza,lacomer,2026-01-28
Germinado De Alfalfa,39.9,200,grs,lacomer,2026-01-28
Kiwi Dorado,89.9,1,pza,lacomer,2026-01-28
Florete De Brocoli,84.5,1360,grs,lacomer,2026-01-28
Champiñon Combo,79.9,500,grs,lacomer,2026-01-28
Albahaca,33.9,50,grs,lacomer,2026-01-28
Seta,35,250,grs,lacomer,2026-01-28
Cremini Entero,39.9,225,grs,lacomer,2026-01-28
Lechuga Francesa Hidroponica,29.9,1,pza,lacomer,2026-01-28
Super Food,42.9,200,grs,lacomer,2026-01-28
Arugula Baby,25.9,120,grs,lacomer,2026-01-28
Cremini Rebanado,39.9,225,grs,lacomer,2026-01-28
Cilantro,33.9,50,grs,lacomer,2026-01-28
Portabella Entero,71.9,500,grs,lacomer,2026-01-28
Perejil,33.9,50,grs,lacomer,2026-01-28
Lechuga Italiana Hidroponica,29.9,1,pza,lacomer,2026-01-28
Menta,33.9,50,grs,lacomer,2026-01-28
Espinaca,42.9,300,grs,lacomer,2026-01-28
Espinaca Tierna,49.9,200,grs,lacomer,2026-01-28
Shiitake Gourmet,59.9,160,grs,lacomer,2026-01-28
Eneldo,33.9,50,grs,lacomer,2026-01-28
Tomillo,33.9,50,grs,lacomer,2026-01-28
Romero,33.9,50,grs,lacomer,2026-01-28
Jitomate Roma,49.9,1,kg,lacomer,2026-01-28
Chicharo Chino,87,365,grs,lacomer,2026-01-28
Elote Amarillo,169,4,pza,lacomer,2026-01-28
Epazote,33.9,50,grs,lacomer,2026-01-28
